endTimeMillis	responseTime	latency	sentBytes	receivedBytes	isSuccessful	responseCode
1525934610.955	103	0	132	78	isSuccessful	128
1525934610.959	3	0	136	0	isSuccessful	
1525934611.052	92	0	104	0	isSuccessful	0
1525934611.129	76	0	152	210	isSuccessful	1
1525934613.440	2310	0	162	22	isSuccessful	0
endTimeMillis	responseTime	latency	sentBytes	receivedBytes	isSuccessful	responseCode
1525934625.183	104	0	132	78	isSuccessful	128
1525934625.187	3	0	136	0	isSuccessful	
1525934625.249	61	0	104	131	isSuccessful	0
1525934625.318	68	0	152	519	isSuccessful	0
1525934632.845	7526	0	162	76	isSuccessful	0
